,neb=10^16,neb=10^17,neb=10^18,neb=10^19,neb=10^20,neb=10^21,neb=10^22,neb=10^23,neb=10^24,neb=10^25,neb=10^26,neb=10^27,neb=10^28,neb=10^29,neb=10^30,neb=10^31,neb=10^32,neb=10^33
200,1.369525295278719e+18,7.968345484446138e+18,1.7116380743784307e+20,-1.0174081918192688e+21,1.8745638973778877e+22,1.1940980961438805e+23,5.011454632620784e+24,3.950318592501494e+25,1.8741419742240617e+26,-6.403528950771239e+26,7.598242336219024e+28,-8.350316599758559e+29,5.61872936752619e+30,-3.7050462178277057e+31,5.220560267571752e+32,1.230891703877705e+34,-1.7335779551869905e+35,2.212154878572779e+36
250,2.5966066601558016e+16,-1.309984541611393e+18,-7.590817171932971e+18,-1.152921504606847e+19,1.1047149741954732e+21,-6.830022285441422e+22,-1.062347991204933e+23,-1.3209049348396756e+25,-1.9117438173439113e+26,-1.5417582093272818e+27,-8.191681353708727e+27,-5.290742956961463e+28,6.606924675292302e+29,7.464701065638388e+31,9.789895987777234e+32,-1.933276104071507e+33,-7.035040922005348e+34,-1.4048541291186317e+36
300,-8.672947719897088e+16,2.6810491531689984e+17,1.0166876158788895e+18,-1.4231374822490767e+18,0.0,3.458764513820541e+18,-2.7670116110564327e+19,-2.2136092888451462e+20,-1.1805916207174113e+21,1.888946593147858e+22,-2.016993749225528e+29,-2.0584742608324175e+29,-2.058268743443083e+29,-2.061170165410158e+29,-2.1168774671780003e+29,2.9710560942849127e+28,1.5845632502852868e+29,2.535301200456459e+30
350,8.094780525547356e+17,4.019462667428168e+17,1.326310090260611e+18,-3.2932121915184015e+20,-1.846836135192093e+21,1.627925164504868e+21,-1.8631211514446647e+21,-1.0396584959942703e+23,-7.898157942599482e+23,-4.1840167038225057e+24,-2.0929528252078268e+25,1.6924961474604808e+25,-1.3539969179683847e+26,-4.642275147320176e+26,-2.4758800785707605e+27,2.9710560942849127e+28,4.75368975085586e+29,-1.0141204801825835e+31
400,-9.25788790587392e+17,-1.407797096018346e+18,-1.3565967977546777e+19,-1.2987480605411036e+20,8.150002116065801e+21,-3.777662601994795e+22,-4.276324211167348e+23,3.188777967557728e+24,1.7769084483417758e+25,-1.824722408980831e+26,9.61247142321082e+26,2.732172352329062e+26,-3.7370314935927417e+28,1.22865548899074e+29,-2.6615710844635676e+29,1.9906075831708915e+30,-7.288990951312319e+30,-1.6479457802966982e+31
450,-2.2553182508941312e+17,2.638405694197334e+18,1.3171002290226384e+20,1.3755794701840443e+21,5.388322766968175e+21,-7.30952233920741e+21,1.1497025477659847e+24,7.968550717984757e+24,-4.846328603044973e+25,-3.6700343358269735e+26,-2.5630738533104657e+27,6.022989325902044e+28,-5.5304971255074364e+29,-2.5421408191735105e+31,1.6164402062968853e+32,-1.1384393706877785e+33,-6.558507292930802e+32,-9.859786368575168e+33
500,-2.1603204462542848e+17,4.8312365002617e+18,-4.484414292957898e+20,6.79935457341888e+20,2.1649560013507373e+22,-3.3024398870108985e+23,1.2946662860692312e+24,-3.0944634544576657e+25,-2.9875107080578237e+26,-2.5348529912088367e+27,1.8542655336976634e+28,-8.487868179514311e+27,1.6980755819031663e+31,-6.428808315014873e+31,-1.0618467825171528e+33,3.880100223932953e+33,2.0215382578164603e+34,9.719203917009858e+34
550,-5.738025729921122e+18,5.572923063894278e+18,3.37320737989957e+20,1.0323060993866104e+21,7.339224479469844e+22,-4.73229313702431e+23,-8.169232846762643e+23,-4.205798619224742e+25,4.9504213662436276e+26,-7.458127833725688e+26,-4.15915816665668e+28,-5.234407013767421e+28,1.8303243294437612e+31,-1.7811063480474793e+32,6.4608957208331496e+32,-1.6199871520974458e+34,-4.090423265551445e+34,-1.2533768544696595e+35
600,-5.4421427528400896e+17,-2.8668226377980314e+18,-9.16753866047445e+20,4.172675126751312e+20,3.0412339909271713e+22,7.144504684253032e+23,-1.4206022078604463e+24,2.040800190362635e+24,6.175958109961751e+26,1.9160907556913928e+27,7.200709747797871e+28,3.5416062170003977e+30,-6.020121753857918e+30,-1.178068616710392e+32,-6.2554719507141336e+32,-7.09020749156403e+33,8.507520090781705e+34,-1.3677785181884566e+36
650,-1.3050587295189565e+18,-8.618763786880287e+17,-1.282790681161423e+21,-1.106390313256855e+21,-7.504567834749273e+22,8.911979467675513e+23,-7.848167266159729e+23,6.399190276565102e+25,-6.646435676733846e+26,-5.739413107552315e+27,-2.9871348076857872e+28,-7.031784729634389e+30,5.180817750035544e+30,6.536467317956375e+32,2.079461967430639e+33,-3.251844663643591e+34,3.636089367613396e+35,-6.190617341636166e+36
700,-1.3144881412387635e+18,-9.236319885783466e+18,1.4660804305959613e+21,1.7379012659654045e+22,8.261835502012665e+22,-1.235873053941805e+24,9.394520928370653e+24,1.245466606015359e+26,-1.0345146583028046e+27,-7.800518293199669e+27,1.3450070433422754e+29,8.699043341684595e+30,-4.0862795243321955e+31,1.5968807536761763e+32,3.9201141598227744e+33,8.240402340864862e+33,8.515428645963878e+35,4.4488007667419677e+36
750,-6.563820535032054e+17,-1.9210976782976654e+20,2.2708601732081868e+21,1.763375426897663e+21,1.511684736106644e+23,-1.0055758304750827e+24,3.460277146834585e+24,-6.974758206455358e+25,8.47524293272236e+26,-6.358912032241087e+27,8.83686995206431e+28,1.3056842527613794e+31,4.946456357785708e+31,-5.514699463181106e+32,3.4777573317648117e+33,-4.025226410618457e+33,1.2506739064773229e+36,1.1120500384718949e+37
800,3.634017871195013e+17,1.130046033249572e+20,1.3699544742494585e+21,-2.128766876185039e+22,-8.705825573436762e+22,1.1648415600429772e+24,-1.165686651505854e+25,2.901967990699692e+25,1.6209475728785228e+27,-8.15108789142198e+27,-1.76226627882499e+29,3.8875983687224653e+30,9.786523374882705e+31,6.014143277180694e+32,1.5831039665669771e+34,-3.613558858898402e+34,1.3300088685546565e+36,7.444359279478692e+36
